person_home_ownership,person_income,loan_int_rate
RENT,59000,16.02
OWN,9600,11.14
MORTGAGE,9600,12.87
RENT,65500,15.23
RENT,54400,14.27
OWN,9900,7.14
RENT,77100,12.42
RENT,78956,11.11
RENT,83000,8.9
OWN,10000,14.74
RENT,85000,10.37
OWN,10000,8.63
RENT,95000,7.9
RENT,108160,18.39
RENT,115000,7.9
MORTGAGE,500000,10.65
RENT,120000,7.9
RENT,92111,20.25
RENT,113000,18.25
MORTGAGE,10800,10.99
RENT,162500,7.49
RENT,137000,16.77
RENT,65000,17.58
OWN,10980,7.29
RENT,80000,14.54
RENT,67746,12.68
MORTGAGE,11000,17.74
OWN,11000,9.32
RENT,65000,9.99
OTHER,11389,12.84
OWN,11520,11.12
RENT,120000,6.62
RENT,95000,14.17
RENT,306000,13.85
MORTGAGE,300000,13.49
OWN,12000,7.51
RENT,48000,18.39
RENT,64000,14.54
RENT,75000,16.89
RENT,71500,
RENT,62050,17.99
OWN,12000,12.69
MORTGAGE,300000,7.88
OWN,300000,19.41
OWN,300000,10.38
MORTGAGE,300000,15.33
MORTGAGE,300000,16.45
RENT,80690,7.49
RENT,66300,12.69
RENT,89028,6.62
RENT,78000,
RENT,78000,18.62
RENT,92004,15.23
RENT,97000,10.65
RENT,120000,7.9
RENT,280000,15.96
RENT,277104,11.48
OWN,277000,
RENT,128000,7.29
OWN,12000,
RENT,131000,5.99
OWN,275000,11.58
MORTGAGE,263000,
MORTGAGE,221850,15.7
RENT,70000,15.99
MORTGAGE,12000,14.84
OWN,260000,10.99
MORTGAGE,259000,14.42
MORTGAGE,255000,6.99
RENT,250000,13.49
OWN,12000,
RENT,56950,
OWN,12000,13.61
RENT,65000,7.9
RENT,85000,7.49
OWN,12000,7.51
RENT,88000,9.91
OWN,12000,13.48
OWN,12000,7.14
RENT,83004,15.99
RENT,250000,12.98
RENT,250000,13.57
RENT,100000,12.69
RENT,110000,8.9
OWN,12000,
RENT,108000,
RENT,151200,11.11
RENT,69000,
MORTGAGE,12000,15.68
RENT,70000,13.06
OWN,240000,
RENT,73200,15.62
RENT,83000,13.49
RENT,73399,
RENT,62500,11.71
RENT,120000,12.69
OWN,12360,13.57
RENT,60000,10.99
MORTGAGE,234000,14.27
OWN,234000,8.88
MORTGAGE,234000,12.18
MORTGAGE,221004,14.42
MORTGAGE,232500,14.17
MORTGAGE,230000,13.99
RENT,83000,10.99
MORTGAGE,12600,5.42
OWN,12600,13.61
RENT,42500,12.73
RENT,41000,
OWN,12816,12.87
MORTGAGE,12960,9.91
MORTGAGE,226000,11.49
MORTGAGE,225000,19.91
MORTGAGE,213000,10.65
RENT,225000,
MORTGAGE,12960,11.83
OWN,12996,13.49
RENT,42000,14.59
RENT,48000,9.64
OWN,12996,14.59
OWN,12996,
RENT,42360,16.35
RENT,49000,10.99
MORTGAGE,225000,18.67
RENT,225000,9.32
RENT,225000,8.63
MORTGAGE,225000,10.08
RENT,49464,11.83
RENT,50000,7.9
RENT,50000,5.99
RENT,44000,15.33
RENT,50000,11.83
RENT,50004,10.36
RENT,50004,12.23
RENT,52000,11.11
OWN,13200,7.9
MORTGAGE,220000,11.58
MORTGAGE,216000,8.9
MORTGAGE,216000,16.07
MORTGAGE,216000,14.22
MORTGAGE,215000,14.79
MORTGAGE,215000,7.88
RENT,52000,13.22
RENT,46000,11.86
RENT,53000,13.43
RENT,47000,15.28
RENT,47000,17.93
MORTGAGE,13200,9.25
OWN,13200,12.98
