cb_person_default_on_file,person_home_ownership,person_income
Y,RENT,59000
N,OWN,9600
N,MORTGAGE,9600
N,RENT,65500
Y,RENT,54400
N,OWN,9900
N,RENT,77100
N,RENT,78956
N,RENT,83000
N,OWN,10000
N,RENT,85000
N,OWN,10000
N,RENT,95000
N,RENT,108160
N,RENT,115000
N,MORTGAGE,500000
N,RENT,120000
N,RENT,92111
N,RENT,113000
N,MORTGAGE,10800
N,RENT,162500
Y,RENT,137000
N,RENT,65000
N,OWN,10980
Y,RENT,80000
N,RENT,67746
Y,MORTGAGE,11000
N,OWN,11000
N,RENT,65000
Y,OTHER,11389
N,OWN,11520
N,RENT,120000
Y,RENT,95000
N,RENT,306000
N,MORTGAGE,300000
N,OWN,12000
N,RENT,48000
Y,RENT,64000
Y,RENT,75000
N,RENT,71500
N,RENT,62050
N,OWN,12000
N,MORTGAGE,300000
Y,OWN,300000
N,OWN,300000
N,MORTGAGE,300000
N,MORTGAGE,300000
N,RENT,80690
N,RENT,66300
N,RENT,89028
Y,RENT,78000
Y,RENT,78000
Y,RENT,92004
N,RENT,97000
N,RENT,120000
Y,RENT,280000
N,RENT,277104
N,OWN,277000
N,RENT,128000
Y,OWN,12000
N,RENT,131000
N,OWN,275000
N,MORTGAGE,263000
N,MORTGAGE,221850
N,RENT,70000
Y,MORTGAGE,12000
N,OWN,260000
Y,MORTGAGE,259000
N,MORTGAGE,255000
N,RENT,250000
N,OWN,12000
N,RENT,56950
Y,OWN,12000
N,RENT,65000
N,RENT,85000
N,OWN,12000
N,RENT,88000
Y,OWN,12000
N,OWN,12000
Y,RENT,83004
Y,RENT,250000
N,RENT,250000
N,RENT,100000
N,RENT,110000
N,OWN,12000
N,RENT,108000
N,RENT,151200
N,RENT,69000
Y,MORTGAGE,12000
Y,RENT,70000
N,OWN,240000
Y,RENT,73200
Y,RENT,83000
N,RENT,73399
N,RENT,62500
N,RENT,120000
N,OWN,12360
N,RENT,60000
Y,MORTGAGE,234000
N,OWN,234000
N,MORTGAGE,234000
Y,MORTGAGE,221004
Y,MORTGAGE,232500
N,MORTGAGE,230000
N,RENT,83000
N,MORTGAGE,12600
N,OWN,12600
Y,RENT,42500
N,RENT,41000
Y,OWN,12816
N,MORTGAGE,12960
N,MORTGAGE,226000
Y,MORTGAGE,225000
N,MORTGAGE,213000
N,RENT,225000
N,MORTGAGE,12960
Y,OWN,12996
Y,RENT,42000
N,RENT,48000
N,OWN,12996
N,OWN,12996
Y,RENT,42360
N,RENT,49000
N,MORTGAGE,225000
N,RENT,225000
N,RENT,225000
N,MORTGAGE,225000
N,RENT,49464
N,RENT,50000
N,RENT,50000
N,RENT,44000
N,RENT,50000
N,RENT,50004
N,RENT,50004
N,RENT,52000
N,OWN,13200
N,MORTGAGE,220000
N,MORTGAGE,216000
N,MORTGAGE,216000
Y,MORTGAGE,216000
Y,MORTGAGE,215000
N,MORTGAGE,215000
N,RENT,52000
N,RENT,46000
Y,RENT,53000
Y,RENT,47000
N,RENT,47000
N,MORTGAGE,13200
N,OWN,13200
N,MORTGAGE,210000
N,OWN,210000
N,RENT,48000
N,RENT,54996
Y,RENT,55000
N,RENT,55000
Y,RENT,55000
Y,RENT,55164
N,RENT,56000
N,OWN,203500
Y,MORTGAGE,190000
N,OWN,13920
N,RENT,60000
N,RENT,60000
Y,RENT,54000
N,OWN,14000
N,RENT,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,RENT,54000
N,RENT,60000
N,RENT,60000
N,RENT,60000
N,RENT,61959
Y,RENT,56400
N,MORTGAGE,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,RENT,200000
N,RENT,66000
Y,RENT,66000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,RENT,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
N,MORTGAGE,200000
Y,RENT,60000
N,OWN,14400
Y,RENT,66996
N,RENT,67000
N,RENT,67000
Y,RENT,68000
N,RENT,69000
N,MORTGAGE,200000
N,MORTGAGE,188000
N,MORTGAGE,200000
N,RENT,69996
N,OWN,14400
N,RENT,70000
N,OWN,14400
N,RENT,56100
Y,RENT,66000
N,RENT,66000
N,OWN,14400
N,RENT,72612
N,RENT,74000
N,RENT,75000
Y,RENT,192000
N,MORTGAGE,192000
N,MORTGAGE,191000
N,MORTGAGE,190300
N,MORTGAGE,190000
N,RENT,75000
Y,RENT,71000
N,MORTGAGE,190000
N,OWN,189996
Y,RENT,78000
N,RENT,78000
N,RENT,78504
N,OWN,186000
N,MORTGAGE,185000
N,RENT,185000
Y,RENT,62050
Y,RENT,79416
N,OWN,14400
Y,RENT,79631
N,RENT,79632
N,MORTGAGE,14400
N,RENT,80000
N,RENT,80000
N,RENT,185000
N,OWN,185000
Y,RENT,184992
N,OWN,184000
Y,MORTGAGE,172000
N,MORTGAGE,183000
N,MORTGAGE,183000
N,MORTGAGE,182952
N,RENT,74004
Y,RENT,74004
N,RENT,81000
N,RENT,81600
N,RENT,82000
N,RENT,83000
Y,RENT,83000
Y,RENT,180000
N,MORTGAGE,180000
N,OWN,14400
N,OWN,14400
N,RENT,84500
N,RENT,85000
N,MORTGAGE,180000
N,MORTGAGE,180000
N,MORTGAGE,142800
N,MORTGAGE,14664
N,RENT,87000
Y,RENT,75000
N,RENT,76000
Y,RENT,66215
N,RENT,90000
N,OWN,15000
N,OWN,180000
N,OWN,180000
Y,OWN,180000
N,OWN,180000
N,MORTGAGE,180000
N,OWN,15000
Y,RENT,78000
Y,RENT,66300
N,RENT,90000
Y,RENT,79000
Y,RENT,91800
N,RENT,92000
Y,RENT,92000
N,RENT,93600
Y,MORTGAGE,15000
Y,RENT,70550
Y,RENT,83800
N,MORTGAGE,175000
N,MORTGAGE,175000
N,MORTGAGE,175000
N,MORTGAGE,175000
N,OWN,15000
N,OWN,15000
Y,RENT,88000
N,RENT,74800
N,RENT,88000
Y,OWN,15000
N,RENT,88000
N,RENT,100000
N,MORTGAGE,15000
N,RENT,102400
Y,RENT,92000
Y,RENT,93000
Y,RENT,175000
N,MORTGAGE,175000
N,RENT,174708
N,MORTGAGE,174000
N,RENT,174000
Y,MORTGAGE,162000
N,MORTGAGE,173467
Y,OWN,15000
Y,RENT,96000
N,MORTGAGE,15120
Y,RENT,97908
Y,RENT,110000
N,MORTGAGE,15204
Y,RENT,159600
N,RENT,171500
N,MORTGAGE,170004
Y,RENT,158004
N,RENT,170000
N,RENT,83300
Y,RENT,110000
N,OWN,15360
N,RENT,134300
N,MORTGAGE,170000
Y,RENT,100580
Y,RENT,113000
N,RENT,120000
N,RENT,120000
N,RENT,120000
Y,RENT,91800
N,OWN,15600
N,RENT,108000
N,RENT,129996
Y,RENT,130000
N,RENT,130000
N,OWN,170000
Y,MORTGAGE,170000
N,RENT,169000
Y,RENT,168750
N,RENT,168600
N,RENT,168288
N,MORTGAGE,168000
N,RENT,133300
N,OWN,15600
Y,RENT,134000
N,RENT,134000
N,OWN,15600
N,RENT,135000
N,RENT,135660
N,RENT,145000
N,RENT,150000
N,MORTGAGE,165000
Y,MORTGAGE,153000
N,MORTGAGE,165000
N,MORTGAGE,165000
N,MORTGAGE,165000
N,OWN,16000
Y,MORTGAGE,16000
N,OWN,16000
N,RENT,148000
N,MORTGAGE,16000
Y,OWN,16020
N,MORTGAGE,16094
N,RENT,175000
N,OWN,16200
Y,RENT,185000
N,RENT,162000
N,RENT,161000
N,MORTGAGE,160000
N,RENT,225000
N,OWN,16400
N,OWN,16500
N,RENT,49500
N,RENT,60000
N,RENT,84200
N,MORTGAGE,16800
N,RENT,92000
N,MORTGAGE,160000
N,MORTGAGE,160000
N,MORTGAGE,160000
Y,RENT,160000
N,MORTGAGE,125800
N,RENT,54000
N,RENT,62500
N,MORTGAGE,16800
N,RENT,68400
N,RENT,56045
Y,RENT,74000
N,RENT,65453
N,RENT,89908
Y,RENT,78000
Y,RENT,100000
N,RENT,103000
N,MORTGAGE,160000
N,OWN,160000
N,MORTGAGE,160000
Y,MORTGAGE,160000
N,MORTGAGE,160000
Y,MORTGAGE,160000
Y,MORTGAGE,160000
Y,MORTGAGE,16800
N,RENT,111996
N,MORTGAGE,16800
N,RENT,115200
N,RENT,144000
N,RENT,287000
Y,RENT,108000
Y,RENT,43000
N,RENT,47004
Y,RENT,48000
N,RENT,48000
